date,value
1965-05-05,152
1965-05-06,149
1965-06-08,0.66
1965-08-11,0.538
1965-08-12,0.558
1965-08-13,0.504
1965-08-14,0.484
1965-08-15,0.547
1965-08-16,0.558
1965-08-17,0.572
1965-08-18,0.572
1965-08-19,0.595
1965-08-20,0.453
1965-08-21,0.453
1965-08-22,0.558
1965-08-23,0.558
1965-08-24,0.547
1965-08-25,0.547
1965-08-26,0.538
1965-08-27,0.547
1965-08-28,2.47
1965-08-29,3
1965-08-30,2.47
1965-08-31,3
1965-09-01,1.79
1965-09-02,1.52
1965-09-03,1.61
1965-09-04,7.16
1965-09-05,7.16
1965-09-06,12.5
1965-09-07,25.2
1965-09-08,28.9
1965-09-09,28.9
1965-09-10,31.4
1965-09-11,33.7
1965-09-12,35.1
1965-09-13,37.1
1965-09-14,37.4
1965-09-15,41.9
1965-09-16,41.9
1965-09-17,45.9
1965-09-18,46.7
1965-09-19,37.4
1965-09-20,41.9
1965-09-21,52.7
1965-09-22,52.4
1965-09-23,53
1965-09-24,52.7
1965-09-25,53.2
1965-09-26,53.2
1965-09-27,53.2
1965-09-28,54.1
1965-09-29,63.4
1965-09-30,68.5
1965-10-01,68.5
1965-10-02,73.3
1965-10-03,77.6
1965-10-04,84.7
1965-10-05,84.7
1965-10-06,88.1
1965-10-07,89.2
1965-10-08,96.3
1965-10-09,106
1965-10-10,111
1965-10-11,110
1965-10-12,112
1965-10-13,112
1965-10-14,112
1965-10-15,113
1965-10-16,119
1965-10-17,132
1965-10-18,133
1965-10-19,134
1965-10-20,141
1965-10-21,142
1965-10-22,116
1965-10-23,84.4
1965-10-24,77
1965-10-25,76.5
1965-10-26,75.6
1965-10-27,28.6
1965-10-28,5.1
1965-10-29,4.19
1965-10-30,3.57
1965-10-31,2.97
1965-11-01,3.17
1965-11-02,3.71
1965-11-03,3.57
1965-11-04,1.46
1965-11-05,0.983
1965-11-06,1.33
1965-11-07,0.892
1965-11-08,1.21
1965-11-09,1.73
1965-11-10,1.82
1965-11-11,1.92
1965-11-12,2.08
1965-11-13,2.01
1965-11-14,1.95
1965-11-15,1.82
1965-11-16,1.7
1965-11-17,1.92
1965-11-18,2.11
1965-11-19,2.14
1965-11-20,2.14
1965-11-21,2.17
1965-11-22,2.21
1965-11-23,2.21
1965-11-24,2.31
1965-11-25,2.37
1965-11-26,2.44
1965-11-27,2.37
1965-11-28,2.37
1965-11-29,51.8
1965-11-30,101
1965-12-01,101
1965-12-02,99.1
1965-12-03,98.3
1965-12-04,108
1965-12-05,120
1965-12-06,116
1965-12-07,116
1965-12-08,113
1965-12-09,106
1965-12-10,106
1965-12-11,84.1
1965-12-12,82.1
1965-12-13,71.6
1965-12-14,71.6
1965-12-15,71.4
1965-12-16,85.8
1965-12-17,84.7
1965-12-18,113
1965-12-19,114
1965-12-20,116
1965-12-21,113
1965-12-22,112
1965-12-23,111
1965-12-24,110
1965-12-25,93.7
1965-12-26,91.5
1965-12-27,81.3
1965-12-28,64.8
1965-12-29,65.4
1965-12-30,66.3
1965-12-31,66.3
1966-01-01,67.4
1966-01-02,70.2
1966-01-03,73.1
1966-01-04,77.3
1966-01-05,76.5
1966-01-06,76.5
1966-01-07,78.4
1966-01-08,82.1
1966-01-09,82.1
1966-01-10,82.7
1966-01-11,82.7
1966-01-12,82.4
1966-01-13,63.7
1966-01-14,83.5
1966-01-15,83.8
1966-01-16,81.3
1966-01-17,1.61
1966-01-18,1.61
1966-01-19,1.61
1966-01-20,1.61
1966-01-21,1.61
1966-01-22,1.61
1966-01-23,1.61
1966-01-24,1.61
1966-01-25,1.61
1966-01-26,1.61
1966-01-27,1.61
1966-01-28,1.61
1966-01-29,1.61
1966-01-30,1.61
1966-01-31,1.61
1966-02-01,1.61
1966-02-02,1.61
1966-02-03,1.61
1966-02-04,1.51
1966-02-05,1.5
1966-02-06,1.5
1966-02-07,1.5
1966-02-08,1.5
1966-02-09,1.5
1966-02-10,1.87
1966-02-11,1.87
1966-02-12,1.87
1966-02-13,1.87
1966-02-14,1.87
1966-02-15,1.87
1966-02-16,1.87
1966-02-17,1.56
1966-02-18,1.56
1966-02-19,1.56
1966-02-20,1.56
1966-02-21,1.56
1966-02-22,1.56
1966-02-23,1.56
1966-02-24,1.56
1966-02-25,1.56
1966-02-26,1.56
1966-02-27,1.5
1966-02-28,1.5
1966-03-01,1.5
1966-03-02,1.5
1966-03-03,1.5
1966-03-04,1.5
1966-03-05,1.5
1966-03-06,1.5
1966-03-07,1.5
1966-03-08,1.5
1966-03-09,1.5
1966-03-10,1.67
1966-03-11,1.67
1966-03-12,1.67
1966-03-13,1.67
1966-03-14,1.67
1966-03-15,1.67
1966-03-16,1.67
1966-03-17,3
1966-03-18,2.97
1966-03-19,3.28
1966-03-20,3.57
1966-03-21,4.84
1966-03-22,4.9
1966-03-23,5.07
1966-03-24,5.47
1966-03-25,18.3
1966-03-26,34.8
1966-03-27,84.7
1966-03-28,90.6
1966-03-29,85.8
1966-03-30,67.4
1966-03-31,77.9
1966-04-01,71.4
1966-04-02,71.6
1966-04-03,71.1
1966-04-04,71.4
1966-04-05,21
1966-04-06,5.92
1966-04-07,6.17
1966-04-08,5.27
1966-04-09,4.28
1966-04-10,3.96
1966-04-11,3.48
1966-04-12,4.08
1966-04-13,4.08
1966-04-14,4.02
1966-04-15,3.74
1966-04-16,3.54
1966-04-17,3.68
1966-04-18,3.68
1966-04-19,3.82
1966-04-20,4.02
1966-04-21,4.05
1966-04-22,4.05
1966-04-23,3.94
1966-04-24,4.02
1966-04-25,4.02
1966-04-26,3.94
1966-04-27,4.67
1966-04-28,4.67
1966-04-29,5.92
1966-04-30,6.91
1966-05-01,9.43
1966-05-02,9.68
1966-05-03,9.23
1966-05-04,9
1966-05-05,8.07
1966-05-06,7.96
1966-05-07,7.84
1966-05-08,7.84
1966-05-09,6.71
1966-05-10,4.79
1966-05-11,5.24
1966-05-12,5.61
1966-05-13,5.61
1966-05-14,5.69
1966-05-15,5.75
1966-05-16,5.83
1966-05-17,5.92
1966-05-18,6.17
1966-05-19,6.17
1966-05-20,5.07
1966-05-21,4.76
1966-05-22,4.76
1966-05-23,4.87
1966-05-24,5.15
1966-05-25,4.67
1966-05-26,4.3
1966-05-27,4.02
1966-05-28,3.79
1966-05-29,3.65
1966-05-30,3.57
1966-05-31,3.57
1966-06-01,3.43
1966-06-02,3.34
1966-06-03,3.06
1966-06-04,3.2
1966-06-05,3.17
1966-06-06,3.17
1966-06-07,3.11
1966-06-08,3.11
1966-06-09,2.47
1966-06-10,2.62
1966-06-11,1.98
1966-06-12,1.02
1966-06-13,0.558
1966-06-14,0.405
1966-06-15,0.405
1966-06-16,0.382
1966-06-17,0.396
1966-06-18,0.374
1966-06-19,0.374
1966-06-20,0.323
1966-06-21,0.303
1966-06-22,0.323
1966-06-23,0.323
1966-06-24,0.348
1966-06-25,0.348
1966-06-26,0.348
1966-06-27,0.348
1966-06-28,0.368
1966-06-29,0.374
1966-06-30,0.391
1966-07-01,0.405
1966-07-02,0.405
1966-07-03,0.405
1966-07-04,0.413
1966-07-05,0.413
1966-07-06,0.413
1966-07-07,0.396
1966-07-08,0.396
1966-07-09,0.413
1966-07-10,0.413
1966-07-11,0.422
1966-07-12,0.436
1966-07-13,0.436
1966-07-14,0.436
1966-07-15,0.422
1966-07-16,0.43
1966-07-17,0.413
1966-07-18,0.425
1966-07-19,0.439
1966-07-20,0.453
1966-07-21,0.467
1966-07-22,0.496
1966-07-23,0.51
1966-07-24,0.524
1966-07-25,0.547
1966-07-26,0.558
1966-07-27,0.558
1966-07-28,0.583
1966-07-29,0.646
1966-07-30,0.646
1966-07-31,0.646
1966-08-01,0.623
1966-08-02,0.623
1966-08-03,0.646
1966-08-04,0.674
1966-08-05,0.716
1966-08-06,0.807
1966-08-07,0.838
1966-08-08,0.838
1966-08-09,0.838
1966-08-10,0.912
1966-08-11,0.838
1966-08-12,0.875
1966-08-13,0.875
1966-08-14,0.946
1966-08-15,0.946
1966-08-16,0.946
1966-08-17,0.946
1966-08-18,0.912
1966-08-19,0.838
1966-08-20,0.838
1966-08-21,0.929
1966-08-22,1.02
1966-08-23,1.09
1966-08-24,1.11
1966-08-25,1.11
1966-08-26,1.02
1966-08-27,0.983
1966-08-28,0.912
1966-08-29,0.912
1966-08-30,0.892
1966-08-31,0.929
1966-09-01,1.14
1966-09-02,1.14
1966-09-03,1.25
1966-09-04,1.31
1966-09-05,1.25
1966-09-06,1.25
1966-09-07,1.38
1966-09-08,1.31
1966-09-09,1.18
1966-09-10,1.02
1966-09-11,0.966
1966-09-12,0.966
1966-09-13,0.966
1966-09-14,0.966
1966-09-15,0.929
1966-09-16,0.929
1966-09-17,0.929
1966-09-18,0.912
1966-09-19,0.912
1966-09-20,0.912
1966-09-21,0.912
1966-09-22,1.22
1966-09-23,1.23
1966-09-24,1.22
1966-09-25,1.22
1966-09-26,1.21
1966-09-27,1.2
1966-09-28,1.2
1966-09-29,1.19
1966-09-30,1.19
1966-10-01,1.18
1966-10-02,1.18
1966-10-03,1.17
1966-10-04,1.16
1966-10-05,1.16
1966-10-06,1.15
1966-10-07,1.14
1966-10-08,1.14
1966-10-09,1.13
1966-10-10,1.12
1966-10-11,1.12
1966-10-12,1.11
1966-10-13,1.07
1966-10-14,1.03
1966-10-15,0.994
1966-10-16,0.954
