date,tempC
2002-06-01,7.113
2002-06-02,7.326
2002-06-03,6.797
2002-06-04,8.277
2002-06-05,8.172
2002-06-06,8.019
2002-06-07,7.848
2002-06-08,7.605
2002-06-09,7.479
2002-06-10,7.746
2002-06-11,7.826
2002-06-12,7.795
2002-06-13,7.97
2002-06-14,8.528
2002-06-15,8.632
2002-06-16,8.882
2002-06-17,9.041
2002-06-18,9.593
2002-06-19,9.782
2002-06-20,9.705
2002-06-21,9.845
2002-06-22,9.189
2002-06-23,9.579
2002-06-24,10.05
2002-06-25,10.849
2002-06-26,10.57
2002-06-27,10.581
2002-06-28,17.725
2002-06-29,17.535
2002-06-30,17.764
2002-07-01,19.473
2002-07-02,19.309
2002-07-03,18.456
2002-07-04,17.926
2002-07-05,18.046
2002-07-06,18.348
2002-07-07,18.492
2002-07-08,18.118
2002-07-09,18.044
2002-07-10,18.051
2002-07-11,18.336
2002-07-12,18.874
2002-07-13,19.291
2002-07-14,19.739
2002-07-15,20.212
2002-07-16,20.585
2002-07-17,20.978
2002-07-18,20.577
2002-07-19,21.452
2002-07-20,21.425
2002-07-21,21.039
2002-07-22,21.254
2002-07-23,21.377
2002-07-24,21.395
2002-07-25,21.196
2002-07-26,21.099
2002-07-27,21.089
2002-07-28,21.17
2002-07-29,21.059
2002-07-30,20.62
2002-07-31,20.533
2002-08-01,20.417
2002-08-02,19.898
2002-08-03,20.006
2002-08-04,20.352
2002-08-05,19.659
2002-08-06,20.367
2002-08-07,20.707
2002-08-08,20.889
2002-08-09,20.808
2002-08-10,21.253
2002-08-11,22.006
2002-08-12,23.117
2002-08-13,23.184
2002-08-14,23.191
2002-08-15,23.31
2002-08-16,23.322
2002-08-17,23.158
2002-08-18,23.175
2002-08-19,22.299
2002-08-20,22.236
2002-08-21,22.42
2002-08-22,22.472
2002-08-23,22.407
2002-08-24,22.463
2002-08-25,22.389
2002-08-26,22.431
2002-08-27,22.372
2002-08-28,22.348
2002-08-29,22.129
2002-08-30,22.131
2002-08-31,22.491
2002-09-01,22.218
2002-09-02,22.091
2002-09-03,22.124
2002-09-04,22.147
2002-09-05,21.936
2002-09-06,21.864
2002-09-07,21.815
2002-09-08,21.534
2002-09-09,21.47
2002-09-10,21.744
2002-09-11,21.478
2002-09-12,21.357
2002-09-13,21.285
2002-09-14,20.621
2002-09-15,19.569
2002-09-16,19.998
2002-09-17,19.098
2002-09-18,20.221
2002-09-19,19.962
2002-09-20,19.906
2002-09-21,19.901
2002-09-22,20.004
2002-09-23,19.84
2002-09-24,19.612
2002-09-25,19.449
2002-09-26,19.398
2002-09-27,19.325
2002-09-28,19.355
2002-09-29,19.144
2002-09-30,18.935
2002-10-01,18.806
2002-10-02,18.533
2002-10-03,17.815
2002-10-04,17.5
2002-10-05,16.848
2002-10-06,17.282
2002-10-07,15.802
2002-10-08,15.753
2002-10-09,14.693
2002-10-10,14
2002-10-11,13.598
2002-10-12,13.644
2002-10-13,13.901
2002-10-14,13.156
2002-10-15,12.773
2002-10-16,12.747
2002-10-17,12.761
2002-10-18,11.765
2002-10-19,11.889
2002-10-20,11.142
2002-10-21,10.975
2002-10-22,10.815
2002-10-23,10.628
2002-10-24,10.384
2002-10-25,10.155
2002-10-26,10.347
2002-10-27,10.649
2002-10-28,11.044
2002-10-29,11.059
2002-10-30,10.95
2002-10-31,10.518
2002-11-01,9.676
2002-11-02,8.32
2002-11-03,8.274
2002-11-04,8.326
2002-11-05,8.466
2002-11-06,8.626
2002-11-07,8.447
2002-11-08,7.749
2002-11-09,7.891
2002-11-10,8.002
2002-11-11,8.369
2002-11-12,7.671
2002-11-13,8.311
2002-11-14,7.904
2002-11-15,7.869
2002-11-16,5.944
2002-11-17,5.879
2002-11-18,6.215
2002-11-19,5.938
2002-11-20,5.798
2002-11-21,6.09
2002-11-22,6.515
2002-11-23,6.652
2002-11-24,6.458
2002-11-25,6.55
